12:23:54.249720 IP localhost.33001 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.250382 IP localhost.59571 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.251073 IP localhost.46443 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.251783 IP localhost.37430 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.252463 IP localhost.50831 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.253148 IP localhost.36536 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.254094 IP localhost.32690 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.254886 IP localhost.50194 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.255895 IP localhost.64511 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.256712 IP localhost.61702 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.257377 IP localhost.6607 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.258103 IP localhost.25626 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.258830 IP localhost.23289 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.259542 IP localhost.32145 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.260299 IP localhost.32128 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.261105 IP localhost.15258 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.261793 IP localhost.33999 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.262451 IP localhost.30243 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.263430 IP localhost.56743 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.264142 IP localhost.1196 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.264831 IP localhost.62900 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.265488 IP localhost.4985 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.266184 IP localhost.61579 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.267103 IP localhost.54606 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.267788 IP localhost.10967 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
